ElectricalDegree [deg],C1,C2,C3,C4
0,0.0,0.0,0.0,0.0
1,20.433,20.447,20.447,20.447
2,40.908,40.937,40.937,40.937
3,61.455,61.498,61.498,61.498
4,82.139,82.196,82.196,82.196
5,102.86,102.931,102.931,102.931
6,123.796,123.882,123.882,123.882
7,144.732,144.832,144.832,144.832
8,165.679,165.793,165.793,165.793
9,186.627,186.757,186.757,186.757
10,207.313,207.457,207.457,207.457
11,227.353,227.51,227.51,227.51
12,247.392,247.564,247.564,247.564
13,266.683,266.868,266.868,266.868
14,283.172,283.369,283.369,283.369
15,299.661,299.869,299.869,299.869
16,316.15,316.37,316.37,316.37
17,349.669,349.912,349.912,349.912
18,394.046,394.319,394.319,394.319
19,435.601,435.903,435.903,435.903
20,474.46,474.789,474.789,474.789
21,505.065,505.415,505.415,505.415
22,527.926,528.293,528.293,528.293
23,547.302,547.682,547.682,547.682
24,563.218,563.609,563.609,563.609
25,575.701,576.1,576.1,576.1
26,585.427,585.833,585.833,585.833
27,593.622,594.034,594.034,594.034
28,601.073,601.49,601.49,601.49
29,608.066,608.488,608.488,608.488
30,614.742,615.169,615.169,615.169
31,619.928,620.358,620.358,620.358
32,621.28,621.711,621.711,621.711
33,622.472,622.904,622.904,622.904
34,623.532,623.965,623.965,623.965
35,624.482,624.915,624.915,624.915
36,625.341,625.775,625.775,625.775
37,626.129,626.564,626.564,626.564
38,626.863,627.298,627.298,627.298
39,627.558,627.993,627.993,627.993
40,628.224,628.66,628.66,628.66
41,628.579,629.015,629.015,629.015
42,628.685,629.121,629.121,629.121
43,628.785,629.221,629.221,629.221
44,628.881,629.317,629.317,629.317
45,628.973,629.41,629.41,629.41
46,629.064,629.5,629.5,629.5
47,629.151,629.588,629.588,629.588
48,629.237,629.673,629.673,629.673
49,629.32,629.756,629.756,629.756
50,629.4,629.837,629.837,629.837
51,629.431,629.867,629.867,629.867
52,629.455,629.892,629.892,629.892
53,629.477,629.914,629.914,629.914
54,629.499,629.935,629.935,629.935
55,629.519,629.955,629.955,629.955
56,629.537,629.974,629.974,629.974
57,629.555,629.992,629.992,629.992
58,629.572,630.009,630.009,630.009
59,629.589,630.025,630.025,630.025
60,629.603,630.04,630.04,630.04
61,629.612,630.049,630.049,630.049
62,629.621,630.058,630.058,630.058
63,629.63,630.066,630.066,630.066
64,629.637,630.074,630.074,630.074
65,629.645,630.081,630.081,630.081
66,629.652,630.088,630.088,630.088
67,629.658,630.095,630.095,630.095
68,629.664,630.101,630.101,630.101
69,629.67,630.106,630.106,630.106
70,629.675,630.112,630.112,630.112
71,629.68,630.116,630.116,630.116
72,629.684,630.121,630.121,630.121
73,629.688,630.125,630.125,630.125
74,629.692,630.129,630.129,630.129
75,629.696,630.133,630.133,630.133
76,629.7,630.136,630.136,630.136
77,629.703,630.14,630.14,630.14
78,629.706,630.143,630.143,630.143
79,629.709,630.146,630.146,630.146
80,629.711,630.148,630.148,630.148
81,629.714,630.15,630.15,630.15
82,629.716,630.153,630.153,630.153
83,629.718,630.154,630.154,630.154
84,629.719,630.156,630.156,630.156
85,629.721,630.157,630.157,630.157
86,629.722,630.159,630.159,630.159
87,629.723,630.16,630.16,630.16
88,629.724,630.16,630.16,630.16
89,629.724,630.161,630.161,630.161
90,629.725,630.161,630.161,630.161
91,629.724,630.161,630.161,630.161
92,629.724,630.16,630.16,630.16
93,629.723,630.16,630.16,630.16
94,629.722,630.159,630.159,630.159
95,629.721,630.157,630.157,630.157
96,629.719,630.156,630.156,630.156
97,629.718,630.154,630.154,630.154
98,629.716,630.153,630.153,630.153
99,629.714,630.15,630.15,630.15
100,629.711,630.148,630.148,630.148
101,629.709,630.146,630.146,630.146
102,629.706,630.143,630.143,630.143
103,629.703,630.14,630.14,630.14
104,629.7,630.136,630.136,630.136
105,629.696,630.133,630.133,630.133
106,629.692,630.129,630.129,630.129
107,629.688,630.125,630.125,630.125
108,629.684,630.121,630.121,630.121
109,629.68,630.116,630.116,630.116
110,629.675,630.112,630.112,630.112
111,629.67,630.106,630.106,630.106
112,629.664,630.101,630.101,630.101
113,629.658,630.095,630.095,630.095
114,629.652,630.088,630.088,630.088
115,629.645,630.081,630.081,630.081
116,629.637,630.074,630.074,630.074
117,629.63,630.066,630.066,630.066
118,629.621,630.058,630.058,630.058
119,629.612,630.049,630.049,630.049
120,629.603,630.04,630.04,630.04
121,629.589,630.025,630.025,630.025
122,629.572,630.009,630.009,630.009
123,629.555,629.992,629.992,629.992
124,629.537,629.974,629.974,629.974
125,629.519,629.955,629.955,629.955
126,629.499,629.935,629.935,629.935
127,629.477,629.914,629.914,629.914
128,629.455,629.892,629.892,629.892
129,629.431,629.867,629.867,629.867
130,629.4,629.837,629.837,629.837
131,629.32,629.756,629.756,629.756
132,629.237,629.673,629.673,629.673
133,629.151,629.588,629.588,629.588
134,629.064,629.5,629.5,629.5
135,628.973,629.41,629.41,629.41
136,628.881,629.317,629.317,629.317
137,628.785,629.221,629.221,629.221
138,628.685,629.121,629.121,629.121
139,628.579,629.015,629.015,629.015
140,628.224,628.66,628.66,628.66
141,627.558,627.993,627.993,627.993
142,626.863,627.298,627.298,627.298
143,626.129,626.564,626.564,626.564
144,625.341,625.775,625.775,625.775
145,624.482,624.915,624.915,624.915
146,623.532,623.965,623.965,623.965
147,622.472,622.904,622.904,622.904
148,621.28,621.711,621.711,621.711
149,619.928,620.358,620.358,620.358
150,614.742,615.169,615.169,615.169
151,608.066,608.488,608.488,608.488
152,601.073,601.49,601.49,601.49
153,593.622,594.034,594.034,594.034
154,585.427,585.833,585.833,585.833
155,575.701,576.1,576.1,576.1
156,563.218,563.609,563.609,563.609
157,547.302,547.682,547.682,547.682
158,527.926,528.293,528.293,528.293
159,505.065,505.415,505.415,505.415
160,474.46,474.789,474.789,474.789
161,435.601,435.903,435.903,435.903
162,394.046,394.319,394.319,394.319
163,349.669,349.912,349.912,349.912
164,316.15,316.37,316.37,316.37
165,299.661,299.869,299.869,299.869
166,283.172,283.369,283.369,283.369
167,266.683,266.868,266.868,266.868
168,247.392,247.564,247.564,247.564
169,227.353,227.51,227.51,227.51
170,207.313,207.457,207.457,207.457
171,186.627,186.757,186.757,186.757
172,165.679,165.793,165.793,165.793
173,144.732,144.832,144.832,144.832
174,123.796,123.882,123.882,123.882
175,102.86,102.931,102.931,102.931
176,82.139,82.196,82.196,82.196
177,61.455,61.498,61.498,61.498
178,40.908,40.937,40.937,40.937
179,20.433,20.447,20.447,20.447
180,0.0,0.0,0.0,0.0
181,-20.433,-20.447,-20.447,-20.447
182,-40.908,-40.937,-40.937,-40.937
183,-61.455,-61.498,-61.498,-61.498
184,-82.139,-82.196,-82.196,-82.196
185,-102.86,-102.931,-102.931,-102.931
186,-123.796,-123.882,-123.882,-123.882
187,-144.732,-144.832,-144.832,-144.832
188,-165.679,-165.793,-165.793,-165.793
189,-186.627,-186.757,-186.757,-186.757
190,-207.313,-207.457,-207.457,-207.457
191,-227.353,-227.51,-227.51,-227.51
192,-247.392,-247.564,-247.564,-247.564
193,-266.683,-266.868,-266.868,-266.868
194,-283.172,-283.369,-283.369,-283.369
195,-299.661,-299.869,-299.869,-299.869
196,-316.15,-316.37,-316.37,-316.37
197,-349.669,-349.912,-349.912,-349.912
198,-394.046,-394.319,-394.319,-394.319
199,-435.601,-435.903,-435.903,-435.903
200,-474.46,-474.789,-474.789,-474.789
201,-505.065,-505.415,-505.415,-505.415
202,-527.926,-528.293,-528.293,-528.293
203,-547.302,-547.682,-547.682,-547.682
204,-563.218,-563.609,-563.609,-563.609
205,-575.701,-576.1,-576.1,-576.1
206,-585.427,-585.833,-585.833,-585.833
207,-593.622,-594.034,-594.034,-594.034
208,-601.073,-601.49,-601.49,-601.49
209,-608.066,-608.488,-608.488,-608.488
210,-614.742,-615.169,-615.169,-615.169
211,-619.928,-620.358,-620.358,-620.358
212,-621.28,-621.711,-621.711,-621.711
213,-622.472,-622.904,-622.904,-622.904
214,-623.532,-623.965,-623.965,-623.965
215,-624.482,-624.915,-624.915,-624.915
216,-625.341,-625.775,-625.775,-625.775
217,-626.129,-626.564,-626.564,-626.564
218,-626.863,-627.298,-627.298,-627.298
219,-627.558,-627.993,-627.993,-627.993
220,-628.224,-628.66,-628.66,-628.66
221,-628.579,-629.015,-629.015,-629.015
222,-628.685,-629.121,-629.121,-629.121
223,-628.785,-629.221,-629.221,-629.221
224,-628.881,-629.317,-629.317,-629.317
225,-628.973,-629.41,-629.41,-629.41
226,-629.064,-629.5,-629.5,-629.5
227,-629.151,-629.588,-629.588,-629.588
228,-629.237,-629.673,-629.673,-629.673
229,-629.32,-629.756,-629.756,-629.756
230,-629.4,-629.837,-629.837,-629.837
231,-629.431,-629.867,-629.867,-629.867
232,-629.455,-629.892,-629.892,-629.892
233,-629.477,-629.914,-629.914,-629.914
234,-629.499,-629.935,-629.935,-629.935
235,-629.519,-629.955,-629.955,-629.955
236,-629.537,-629.974,-629.974,-629.974
237,-629.555,-629.992,-629.992,-629.992
238,-629.572,-630.009,-630.009,-630.009
239,-629.589,-630.025,-630.025,-630.025
240,-629.603,-630.04,-630.04,-630.04
241,-629.612,-630.049,-630.049,-630.049
242,-629.621,-630.058,-630.058,-630.058
243,-629.63,-630.066,-630.066,-630.066
244,-629.637,-630.074,-630.074,-630.074
245,-629.645,-630.081,-630.081,-630.081
246,-629.652,-630.088,-630.088,-630.088
247,-629.658,-630.095,-630.095,-630.095
248,-629.664,-630.101,-630.101,-630.101
249,-629.67,-630.106,-630.106,-630.106
250,-629.675,-630.112,-630.112,-630.112
251,-629.68,-630.116,-630.116,-630.116
252,-629.684,-630.121,-630.121,-630.121
253,-629.688,-630.125,-630.125,-630.125
254,-629.692,-630.129,-630.129,-630.129
255,-629.696,-630.133,-630.133,-630.133
256,-629.7,-630.136,-630.136,-630.136
257,-629.703,-630.14,-630.14,-630.14
258,-629.706,-630.143,-630.143,-630.143
259,-629.709,-630.146,-630.146,-630.146
260,-629.711,-630.148,-630.148,-630.148
261,-629.714,-630.15,-630.15,-630.15
262,-629.716,-630.153,-630.153,-630.153
263,-629.718,-630.154,-630.154,-630.154
264,-629.719,-630.156,-630.156,-630.156
265,-629.721,-630.157,-630.157,-630.157
266,-629.722,-630.159,-630.159,-630.159
267,-629.723,-630.16,-630.16,-630.16
268,-629.724,-630.16,-630.16,-630.16
269,-629.724,-630.161,-630.161,-630.161
270,-629.725,-630.161,-630.161,-630.161
271,-629.724,-630.161,-630.161,-630.161
272,-629.724,-630.16,-630.16,-630.16
273,-629.723,-630.16,-630.16,-630.16
274,-629.722,-630.159,-630.159,-630.159
275,-629.721,-630.157,-630.157,-630.157
276,-629.719,-630.156,-630.156,-630.156
277,-629.718,-630.154,-630.154,-630.154
278,-629.716,-630.153,-630.153,-630.153
279,-629.714,-630.15,-630.15,-630.15
280,-629.711,-630.148,-630.148,-630.148
281,-629.709,-630.146,-630.146,-630.146
282,-629.706,-630.143,-630.143,-630.143
283,-629.703,-630.14,-630.14,-630.14
284,-629.7,-630.136,-630.136,-630.136
285,-629.696,-630.133,-630.133,-630.133
286,-629.692,-630.129,-630.129,-630.129
287,-629.688,-630.125,-630.125,-630.125
288,-629.684,-630.121,-630.121,-630.121
289,-629.68,-630.116,-630.116,-630.116
290,-629.675,-630.112,-630.112,-630.112
291,-629.67,-630.106,-630.106,-630.106
292,-629.664,-630.101,-630.101,-630.101
293,-629.658,-630.095,-630.095,-630.095
294,-629.652,-630.088,-630.088,-630.088
295,-629.645,-630.081,-630.081,-630.081
296,-629.637,-630.074,-630.074,-630.074
297,-629.63,-630.066,-630.066,-630.066
298,-629.621,-630.058,-630.058,-630.058
299,-629.612,-630.049,-630.049,-630.049
300,-629.603,-630.04,-630.04,-630.04
301,-629.589,-630.025,-630.025,-630.025
302,-629.572,-630.009,-630.009,-630.009
303,-629.555,-629.992,-629.992,-629.992
304,-629.537,-629.974,-629.974,-629.974
305,-629.519,-629.955,-629.955,-629.955
306,-629.499,-629.935,-629.935,-629.935
307,-629.477,-629.914,-629.914,-629.914
308,-629.455,-629.892,-629.892,-629.892
309,-629.431,-629.867,-629.867,-629.867
310,-629.4,-629.837,-629.837,-629.837
311,-629.32,-629.756,-629.756,-629.756
312,-629.237,-629.673,-629.673,-629.673
313,-629.151,-629.588,-629.588,-629.588
314,-629.064,-629.5,-629.5,-629.5
315,-628.973,-629.41,-629.41,-629.41
316,-628.881,-629.317,-629.317,-629.317
317,-628.785,-629.221,-629.221,-629.221
318,-628.685,-629.121,-629.121,-629.121
319,-628.579,-629.015,-629.015,-629.015
320,-628.224,-628.66,-628.66,-628.66
321,-627.558,-627.993,-627.993,-627.993
322,-626.863,-627.298,-627.298,-627.298
323,-626.129,-626.564,-626.564,-626.564
324,-625.341,-625.775,-625.775,-625.775
325,-624.482,-624.915,-624.915,-624.915
326,-623.532,-623.965,-623.965,-623.965
327,-622.472,-622.904,-622.904,-622.904
328,-621.28,-621.711,-621.711,-621.711
329,-619.928,-620.358,-620.358,-620.358
330,-614.742,-615.169,-615.169,-615.169
331,-608.066,-608.488,-608.488,-608.488
332,-601.073,-601.49,-601.49,-601.49
333,-593.622,-594.034,-594.034,-594.034
334,-585.427,-585.833,-585.833,-585.833
335,-575.701,-576.1,-576.1,-576.1
336,-563.218,-563.609,-563.609,-563.609
337,-547.302,-547.682,-547.682,-547.682
338,-527.926,-528.293,-528.293,-528.293
339,-505.065,-505.415,-505.415,-505.415
340,-474.46,-474.789,-474.789,-474.789
341,-435.601,-435.903,-435.903,-435.903
342,-394.046,-394.319,-394.319,-394.319
343,-349.669,-349.912,-349.912,-349.912
344,-316.15,-316.37,-316.37,-316.37
345,-299.661,-299.869,-299.869,-299.869
346,-283.172,-283.369,-283.369,-283.369
347,-266.683,-266.868,-266.868,-266.868
348,-247.392,-247.564,-247.564,-247.564
349,-227.353,-227.51,-227.51,-227.51
350,-207.313,-207.457,-207.457,-207.457
351,-186.627,-186.757,-186.757,-186.757
352,-165.679,-165.793,-165.793,-165.793
